# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 9.574, -0.010 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Abidjan, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Abidjan", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "9.574450279766161", "lon": "-0.009847333333025919", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "capacity": "5000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2024-01-01 00:00,2024-01-01 00:00,0,0,0,21.430
2024-01-01 01:00,2024-01-01 01:00,0,0,0,20.496
2024-01-01 02:00,2024-01-01 02:00,0,0,0,19.279
2024-01-01 03:00,2024-01-01 03:00,0,0,0,18.035
2024-01-01 04:00,2024-01-01 04:00,0,0,0,17.104
2024-01-01 05:00,2024-01-01 05:00,0,0,0,16.407
2024-01-01 06:00,2024-01-01 06:00,66.149,0.012,0.021,16.351
2024-01-01 07:00,2024-01-01 07:00,946.508,0.119,0.110,19.294
2024-01-01 08:00,2024-01-01 08:00,2053.072,0.340,0.151,21.615
2024-01-01 09:00,2024-01-01 09:00,2881.376,0.565,0.157,25.221
2024-01-01 10:00,2024-01-01 10:00,3351.382,0.719,0.160,28.789
2024-01-01 11:00,2024-01-01 11:00,3537.634,0.796,0.162,31.940
2024-01-01 12:00,2024-01-01 12:00,3572.611,0.824,0.155,33.431
2024-01-01 13:00,2024-01-01 13:00,3316.514,0.743,0.154,33.999
2024-01-01 14:00,2024-01-01 14:00,2823.810,0.593,0.150,33.977
2024-01-01 15:00,2024-01-01 15:00,2060.112,0.384,0.140,33.294
2024-01-01 16:00,2024-01-01 16:00,1013.713,0.151,0.107,31.728
2024-01-01 17:00,2024-01-01 17:00,82.381,0.016,0.022,27.790
2024-01-01 18:00,2024-01-01 18:00,0,0,0,25.820
2024-01-01 19:00,2024-01-01 19:00,0,0,0,24.888
2024-01-01 20:00,2024-01-01 20:00,0,0,0,24.438
2024-01-01 21:00,2024-01-01 21:00,0,0,0,24.078
2024-01-01 22:00,2024-01-01 22:00,0,0,0,23.390
2024-01-01 23:00,2024-01-01 23:00,0,0,0,23.022
2024-01-02 00:00,2024-01-02 00:00,0,0,0,22.803
2024-01-02 01:00,2024-01-02 01:00,0,0,0,22.443
2024-01-02 02:00,2024-01-02 02:00,0,0,0,21.944
2024-01-02 03:00,2024-01-02 03:00,0,0,0,21.448
2024-01-02 04:00,2024-01-02 04:00,0,0,0,21.017
2024-01-02 05:00,2024-01-02 05:00,0,0,0,20.715
2024-01-02 06:00,2024-01-02 06:00,39.477,0.008,0.019,20.722
2024-01-02 07:00,2024-01-02 07:00,795.548,0.088,0.111,22.805
2024-01-02 08:00,2024-01-02 08:00,2055.357,0.351,0.149,25.228
2024-01-02 09:00,2024-01-02 09:00,2875.410,0.582,0.152,28.621
2024-01-02 10:00,2024-01-02 10:00,3335.290,0.737,0.155,32.097
2024-01-02 11:00,2024-01-02 11:00,3535.478,0.813,0.158,34.210
2024-01-02 12:00,2024-01-02 12:00,3520.764,0.814,0.158,35.125
2024-01-02 13:00,2024-01-02 13:00,3282.249,0.738,0.155,35.444
